Order_ID,Customer_Name,Gender,Age,City,Product_Category,Quantity,Price,Order_Date,Payment_Method,Rating
1001,,F,22,mumbai,electronic,1,abc,05-01-2024,UPI,1
1002,Pooja,m,120,,Clothing,4,67000,13-04-2024,UPI,2
1003,Anjali,Male,21,,Electronics,3,,18-03-2024,Card,1
1004,Vikas,Female,120,Delhi,electronic,3,45000,31-03-2024,UPI,1
1005,Akash,F,45,,Furniture,4,,21-01-2024,Card,3
1006,Pooja,f,38, Nagpur,Clothing,5,45000,21-01-2024,cash,4
1007,Meena,m,twenty,PUNE,Electronics,2,500,13-04-2024,Card,4
1008,Meena,m,twenty,Pune,Clothng,4,999999,19-01-2024,Card,2
1009,Akash,f,-3, Nagpur,Clothng,3,45000,18-01-2024,card,4
1010,Sneha,F,,PUNE,Clothng,5,1500,19-02-2024,cash,5
1011,Vikas,M,39,mumbai,electronic,3,,15-01-2024,Card,4
1012,Rohit,f,120,PUNE,Clothing,5,1500,21-04-2024,Card,
1013,Pooja,m,120,Mumbai,electronic,3,999999,03-01-2024,UPI,3
1014,Kiran,m,20,mumbai,Clothng,1,25000,17-01-2024,cash,5
1015,Rohit,Female,120,PUNE,Clothing,,67000,21-02-2024,Card,4
1016,Vikas,Male,120, Nagpur,Clothing,5,45000,01-01-2024,UPI,
1017,Rahul,Male,120,Pune,Furniture,,999999,28-01-2024,card,2
1018,Priya,Female,24,Mumbai,Clothng,3,abc,22-02-2024,cash,
1019,Rahul,M,-3,mumbai,Furniture,1,45000,25-01-2024,Cash,5
1020,Vikas,Female,25,,electronic,1,500,24-03-2024,card,1
1021,Sneha,F,-3,,Clothing,4,500,22-01-2024,cash,1
1022,Om,Female,-3,mumbai,electronic,,999999,20-01-2024,Cash,3
1023,Pooja,m,twenty,Mumbai,Electronics,5,999999,05-03-2024,card,2
1024,Rahul,F,120,Mumbai,Clothing,4,1500,30-04-2024,card,2
1025,Rahul,m,120,Delhi,Furniture,2,,31-01-2024,Card,4
1026,Neha,Male,42,Mumbai,Clothng,5,1500,10-01-2024,card,2
1027,Meena,M,twenty,Delhi,Clothing,4,67000,19-03-2024,card,1
1028,Kiran,F,26,Mumbai,electronic,2,67000,06-02-2024,card,2
1029,Riya,Male,-3,Delhi,Electronics,1,abc,16-04-2024,Card,1
