Order_ID,Customer_Name,Gender,Age,City,Product_Category,Quantity,Price,Order_Date,Payment_Method,Rating
1001,,Female,22,mumbai,electronic,1.0,abc,05-01-2024,UPI,1.0
1002,Pooja,Male,120,,Clothing,4.0,67000,13-04-2024,UPI,2.0
1003,Anjali,Male,21,,Electronics,3.0,,18-03-2024,Card,1.0
1004,Vikas,Female,120,Delhi,electronic,3.0,45000,31-03-2024,UPI,1.0
1005,Akash,Female,45,,Furniture,4.0,,21-01-2024,Card,3.0
1006,Pooja,Female,38, Nagpur,Clothing,5.0,45000,21-01-2024,cash,4.0
1007,Meena,Male,twenty,PUNE,Electronics,2.0,500,13-04-2024,Card,4.0
1008,Meena,Male,twenty,Pune,Clothng,4.0,999999,19-01-2024,Card,2.0
1009,Akash,Female,-3, Nagpur,Clothng,3.0,45000,18-01-2024,card,4.0
1010,Sneha,Female,,PUNE,Clothng,5.0,1500,19-02-2024,cash,5.0
1011,Vikas,Male,39,mumbai,electronic,3.0,,15-01-2024,Card,4.0
1012,Rohit,Female,120,PUNE,Clothing,5.0,1500,21-04-2024,Card,
1013,Pooja,Male,120,Mumbai,electronic,3.0,999999,03-01-2024,UPI,3.0
1014,Kiran,Male,20,mumbai,Clothng,1.0,25000,17-01-2024,cash,5.0
1015,Rohit,Female,120,PUNE,Clothing,,67000,21-02-2024,Card,4.0
1016,Vikas,Male,120, Nagpur,Clothing,5.0,45000,01-01-2024,UPI,
1017,Rahul,Male,120,Pune,Furniture,,999999,28-01-2024,card,2.0
1018,Priya,Female,24,Mumbai,Clothng,3.0,abc,22-02-2024,cash,
1019,Rahul,Male,-3,mumbai,Furniture,1.0,45000,25-01-2024,Cash,5.0
1020,Vikas,Female,25,,electronic,1.0,500,24-03-2024,card,1.0
1021,Sneha,Female,-3,,Clothing,4.0,500,22-01-2024,cash,1.0
1022,Om,Female,-3,mumbai,electronic,,999999,20-01-2024,Cash,3.0
1023,Pooja,Male,twenty,Mumbai,Electronics,5.0,999999,05-03-2024,card,2.0
1024,Rahul,Female,120,Mumbai,Clothing,4.0,1500,30-04-2024,card,2.0
1025,Rahul,Male,120,Delhi,Furniture,2.0,,31-01-2024,Card,4.0
1026,Neha,Male,42,Mumbai,Clothng,5.0,1500,10-01-2024,card,2.0
1027,Meena,Male,twenty,Delhi,Clothing,4.0,67000,19-03-2024,card,1.0
1028,Kiran,Female,26,Mumbai,electronic,2.0,67000,06-02-2024,card,2.0
1029,Riya,Male,-3,Delhi,Electronics,1.0,abc,16-04-2024,Card,1.0
1030,Harshada,Male,-3, Nagpur,Clothng,5.0,500,15-01-2024,UPI,
1031,Neha,Male,,,Clothing,1.0,67000,16-02-2024,UPI,3.0
1032,Pooja,Male,120,PUNE,Clothng,5.0,25000,28-04-2024,Cash,2.0
1033, Rohit ,Female,-3,PUNE,Clothing,3.0,25000,10-04-2024,UPI,4.0
1034,Rahul,Female,twenty,PUNE,Clothing,2.0,500,25-03-2024,Cash,4.0
1035,Riya,Male,120,,electronic,3.0,500,15-01-2024,Card,2.0
1036,,Male,twenty,,electronic,5.0,1500,19-02-2024,card,2.0
1037,,Male,120,mumbai,Clothing,3.0,abc,09-01-2024,Card,5.0
1038,Riya,Male,twenty,mumbai,Clothng,3.0,abc,30-03-2024,Card,5.0
1039,Neha,Female,, Nagpur,electronic,3.0,abc,11-03-2024,UPI,3.0
1040,Kiran,Male,twenty,,Clothng,4.0,45000,06-03-2024,cash,
1041,Rohit,Female,120,Delhi,Electronics,2.0,67000,29-01-2024,Cash,2.0
1042,,Male,45,,Clothng,,45000,01-04-2024,cash,4.0
1043,Om,Male,42,PUNE,Clothng,2.0,25000,12-04-2024,card,4.0
1044,Rahul,Male,,PUNE,Clothng,,,06-04-2024,cash,5.0
1045,Anjali,Female,-3,,Furniture,2.0,67000,08-04-2024,card,4.0
1046,Akash,Male,twenty,Delhi,Furniture,5.0,1500,18-01-2024,Cash,2.0
1047,Om,Male,-3,Delhi,electronic,4.0,abc,08-01-2024,Cash,4.0
1048,Om,Female,120,,Clothng,1.0,,08-02-2024,cash,4.0
